Optimisation Analysis, ,,,,,,,,,,,,
Objective ,MaxENB,,,,,,,,,,,,
Objective ,MinRisk,,,,,,,,,,,,
SolutionSpace ,6912,,,,,,,,,,,,
Minimal SolutionSet ,6912,,,,,,,,,,,,
Shortlisted ,15,,,,,,,,,,,,
Nbr. Variables ,117,,,,,,,,,,,,
Nbr. Parameters ,137,,,,,,,,,,,,
Nbr. Decisions ,10,,,,,,,,,,,,
Runtime(s) ,111,,,,,,,,,,,,
,,,,,,,,,,,,,
ID,Location Finding,File Sharing,Report Syncing,Chat Protocol,Map Access,Hardware Platform,Connectivity,Database,Architectural Pattern,Data Exchange Format,ENB,Risk,Optimal
112,GPS,In house,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,MySQL,Push-based,Unformatted data,12.03907029,1,No
113,GPS,OpenIntent,Explicit,In house,Cache on server,Droid (Motorola),Wifi,sqLite,Client-Server,Unformatted data,14.10173094,1,No
114,radio triangulation,In house,Implicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Push-based,Compressed XML,13.4351656,1,No
115,radio triangulation,In house,Implicit,In house,On Demand (Google),Nexus I (HTC),3G on Nexus I,MySQL,Peer-to-peer,Compressed XML,12.78782833,1,No
116,GPS,OpenIntent,Explicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Nexus I,MySQL,Peer-to-peer,XML,13.85504155,1,No
117,GPS,In house,Implicit,In house,Cache on server,Droid (Motorola),Bluetooth,sqLite,Push-based,Unformatted data,13.6685873,1,No
118,radio triangulation,OpenIntent,Explicit,In house,Cache on server,Nexus I (HTC),3G on Droid,MySQL,Client-Server,Unformatted data,14.47532889,1,No
119,GPS,OpenIntent,Implicit,In house,Preloaded (ESRI),Nexus I (HTC),Bluetooth,sqLite,Peer-to-peer,Compressed XML,14.48797495,1,No
120,radio triangulation,In house,Explicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Nexus I,MySQL,Peer-to-peer,Compressed XML,13.78065946,1,No
121,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Cache on server,Droid (Motorola),Wifi,MySQL,Client-Server,XML,15.86217598,1,No
122,radio triangulation,In house,Explicit,In house,Cache on server,Nexus I (HTC),3G on Droid,MySQL,Peer-to-peer,Compressed XML,13.31761588,1,No
123,GPS,OpenIntent,Implicit,In house,On Demand (Google),Nexus I (HTC),Wifi,sqLite,Push-based,Unformatted data,13.08349662,1,No
124,GPS,In house,Implicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Droid,MySQL,Push-based,XML,14.38628478,0.9982,No
125,GPS,In house,Implicit,In house,Preloaded (ESRI),Nexus I (HTC),Bluetooth,MySQL,Peer-to-peer,Unformatted data,13.81739018,1,No
126,radio triangulation,OpenIntent,Implicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),3G on Nexus I,sqLite,Client-Server,Unformatted data,15.22385495,1,No
127,GPS,In house,Implicit,XMPP (Open Fire),On Demand (Google),Droid (Motorola),3G on Droid,MySQL,Peer-to-peer,Compressed XML,12.93729847,1,No
128,GPS,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),Wifi,sqLite,Push-based,Compressed XML,12.70965507,1,No
129,radio triangulation,In house,Explicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Droid,MySQL,Push-based,Unformatted data,14.00692835,0.7051,No
130,radio triangulation,In house,Explicit,In house,On Demand (Google),Droid (Motorola),Wifi,sqLite,Client-Server,Unformatted data,12.7921882,1,No
131,GPS,OpenIntent,Explicit,In house,Preloaded (ESRI),Droid (Motorola),3G on Droid,MySQL,Peer-to-peer,Unformatted data,13.95205857,1,No
132,radio triangulation,In house,Implicit,XMPP (Open Fire),Cache on server,Nexus I (HTC),3G on Nexus I,sqLite,Peer-to-peer,Compressed XML,14.06614194,1,No
133,radio triangulation,OpenIntent,Explicit,In house,Preloaded (ESRI),Nexus I (HTC),3G on Nexus I,MySQL,Push-based,XML,14.35290868,0.5954,No
134,GPS,OpenIntent,Explicit,In house,On Demand (Google),Nexus I (HTC),Bluetooth,MySQL,Push-based,Compressed XML,12.45942949,1,No
135,GPS,OpenIntent,Implicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Client-Server,Compressed XML,14.04807323,1,No
136,radio triangulation,OpenIntent,Explicit,XMPP (Open Fire),On Demand (Google),Nexus I (HTC),3G on Droid,MySQL,Client-Server,XML,13.66123662,1,No
137,GPS,In house,Explicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),Bluetooth,MySQL,Peer-to-peer,Compressed XML,13.44354862,1,No
138,radio triangulation,In house,Implicit,XMPP (Open Fire),Preloaded (ESRI),Droid (Motorola),3G on Nexus I,sqLite,Push-based,Unformatted data,14.75545441,0.666,No
139,GPS,OpenIntent,Implicit,In house,Cache on server,Nexus I (HTC),3G on Nexus I,MySQL,Peer-to-peer,Compressed XML,14.09737107,1,No
140,GPS,In house,Explicit,XMPP (Open Fire),Cache on server,Droid (Motorola),Bluetooth,sqLite,Push-based,Compressed XML,13.29474575,1,No
141,GPS,OpenIntent,Implicit,XMPP (Open Fire),Preloaded (ESRI),Nexus I (HTC),3G on Nexus I,sqLite,Peer-to-peer,Compressed XML,14.65364638,1,No
142,GPS,OpenIntent,Implicit,In house,Cache on server,Nexus I (HTC),3G on Droid,MySQL,Client-Server,XML,14.85468532,1,No
143,radio triangulation,In house,Explicit,In house,Cache on server,Droid (Motorola),3G on Nexus I,MySQL,Peer-to-peer,XML,13.26753711,1,No
